scientific_name,c,name_2017,c_2017
Viburnum opulus var. opulus,0,Viburnum opulus,0
Viburnum ra?nesquianum,8,Viburnum rafinesquianum,8
Vicia sativa ssp. nigra,0,Vicia angustifolia,0
Viola ?mbriatula,6,Viola sagittata,5
Viola bicolor,0,Viola rafinesquii,0
Viola blanda,10,Viola blanda var. palustriformis,10
Viola blanda var. blanda,10,Viola blanda var. palustriformis,10
Viola lanceolata ssp. lanceolata,7,Viola lanceolata,7
Viola lanceolata ssp. vittata,7,Viola lanceolata,7
Viola macloskeyi ssp. pallens,10,Viola pallens,10
Viola pedata,9,Viola pedata var. lineariloba,9
Viola septentrionalis,3,Viola sororia,NA
Vitis aestivalis var. aestivalis,5,Vitis aestivalis,5
Vitis aestivalis var. bicolor,5,Vitis aestivalis,5
Vulpia octoflora var. octoflora,1,Vulpia octoflora,1
Vulpia octoflora var. tenella,1,Vulpia octoflora,1
Xanthium strumarium,0,NA,NA
Yucca smalliana,0,Yucca flaccida,0
